project_id,programme_id
GB-GOV-13-NEWT-BA_DEL_Del31,BA-Del
GB-GOV-13-NEWT-BA_DEL_Del32,BA-Del
GB-GOV-13-NEWT-BA_DEL_Del33,BA-Del
GB-GOV-13-NEWT-BA_TUR_610,Turkey-Newton-Mob-BA
GB-GOV-13-NEWT-BA_TUR_611,Turkey-Newton-Int-BA
GB-GOV-13-NEWT-BA_MYS_638,Malaysia-Newton-Adv-BA
GB-GOV-13-NEWT-BA_TUR_654,Turkey-Newton-Adv-BA
GB-GOV-13-NEWT-BA_BRA_660,Brazil-Newton-Adv-BA
GB-GOV-13-NEWT-BA_CHN_666,China-Newton-Adv-BA
GB-GOV-13-NEWT-BA_MEX_680,Mexico-Newton-Adv-BA
GB-GOV-13-NEWT-BA_MEX_682,Mexico-Newton-Adv-BA
GB-GOV-13-NEWT-BA_ZAF_968,South Africa-Newton-Adv-BA
GB-GOV-13-NEWT-BA_TUR_970,Turkey-Newton-Adv-BA
GB-GOV-13-NEWT-BA_THA_972,Thailand-Newton-Adv-BA
GB-GOV-13-NEWT-BA_BRA_974,Brazil-Newton-Int-BA
GB-GOV-13-NEWT-BA_ZAF_976,South Africa-Newton-Int-BA
GB-GOV-13-NEWT-BA_TUR_990,Turkey-Newton-Mob-BA